,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
4,ACGL,75,46.53,43.47,42.41,36.53,49.15,Finance,Multi-Line Insurance,1.15
6,ACM,75,72.7,70.32,68.34,58.36,79.75,Industrial Services,Engineering & Construction,1.56
302,VIRT,75,33.25,28.87,28.34,23.19,37.27,Finance,Investment Banks/Brokers,2.06
69,CLBK,75,21.4,19.9,19.32,16.34,22.71,Finance,Savings Banks,0.78
66,CHKP,75,131.98,122.19,122.05,107.85,149.62,Technology Services,Internet Software/Services,2.21
55,CBZ,75,39.0,37.16,35.97,30.68,41.35,Commercial Services,Miscellaneous Commercial Services,1.05
122,FMC,74,117.74,105.29,105.0,87.27,136.63,Process Industries,Chemicals: Agricultural,2.02
231,PBCT,74,20.49,18.55,18.02,15.18,21.98,Finance,Major Banks,2.17
279,TGNA,74,21.21,20.0,19.43,16.42,23.04,Consumer Services,Broadcasting,0.4
44,BOX,74,26.15,25.66,25.44,20.36,28.99,Technology Services,Information Technology Services,0.78
196,MTB,74,176.46,158.37,153.16,128.46,186.95,Finance,Regional Banks,2.16
74,CME,74,235.09,217.74,214.56,185.79,256.94,Finance,Investment Banks/Brokers,1.14
99,CYXT,74,11.7,10.58,10.35,7.51,13.53,Finance,Financial Conglomerates,0.91
271,SUPN,74,30.7,29.77,29.4,23.15,34.5,Health Technology,Pharmaceuticals: Major,-0.74
168,KW,72,22.7,22.42,21.75,18.75,24.81,Finance,Real Estate Development,2.27
108,EPAY,72,56.55,49.57,46.88,36.05,56.84,Technology Services,Packaged Software,0.14
215,NVST,71,46.09,43.26,43.02,37.6,51.35,Health Technology,Medical Specialties,-1.18
218,OGS,71,79.93,72.65,72.63,62.52,89.47,Utilities,Gas Distributors,3.14
306,VRTX,70,237.95,209.84,206.55,176.36,254.93,Health Technology,Pharmaceuticals: Major,0.89
198,MTOR,70,29.68,26.38,25.7,20.5,36.24,Producer Manufacturing,Auto Parts: OEM,0.25
77,CNI,70,124.07,122.8,118.29,100.66,136.25,Transportation,Railroads,1.41
36,AXS,70,55.49,52.19,51.53,44.49,58.61,Finance,Multi-Line Insurance,0.82
12,AIR,70,43.15,37.97,37.67,30.9,51.26,Electronic Technology,Aerospace & Defense,0.0
102,DE,70,381.93,362.41,359.79,320.5,436.95,Producer Manufacturing,Trucks/Construction/Farm Machinery,0.98
