,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change,returnsMultiple
232,SFM,75,31.06,27.42,26.75,21.18,35.34,Retail Trade,Food Retail,-1.9,1.11
130,HRL,73,50.0,46.24,46.06,40.48,53.84,Consumer Non-Durables,Food: Meat/Fish/Dairy,-0.77,1.1
80,DE,73,395.92,367.28,365.8,320.5,445.53,Producer Manufacturing,Trucks/Construction/Farm Machinery,0.39,1.1
5,ACM,73,74.49,71.28,69.25,58.36,79.97,Industrial Services,Engineering & Construction,1.14,1.1
83,DNOW,73,10.18,9.12,8.93,6.83,11.87,Distribution Services,Wholesale Distributors,1.56,1.1
199,ORA,73,75.29,74.37,73.06,60.32,86.96,Utilities,Alternative Power Generation,1.58,1.1
129,HPQ,73,36.82,34.29,32.86,26.11,41.47,Electronic Technology,Computer Processing Hardware,2.56,1.1
208,PCRX,72,70.94,61.61,60.67,45.05,82.16,Health Technology,Pharmaceuticals: Major,-2.25,1.09
81,DINO,72,36.0,34.49,33.37,27.17,40.71,Energy Minerals,Oil Refining/Marketing,5.24,1.09
157,LRN,71,34.32,34.05,33.6,25.55,38.4,Consumer Services,Other Consumer Services,0.93,1.08
189,NTCT,71,31.61,30.61,29.93,24.82,34.87,Technology Services,Information Technology Services,-1.62,1.08
48,CGAU,71,9.54,8.25,8.02,6.64,10.57,Non-Energy Minerals,Precious Metals,0.0,1.08
30,BHF,70,52.21,51.51,49.96,40.03,62.33,Finance,Life/Health Insurance,-0.09,1.07
185,NJR,70,43.45,39.71,39.13,34.41,47.23,Utilities,Gas Distributors,0.07,1.07
271,VRNT,70,50.99,49.36,47.81,41.46,54.74,Technology Services,Information Technology Services,1.96,1.07
194,NXGN,70,19.95,17.6,17.14,13.64,21.87,Technology Services,Information Technology Services,-1.42,1.07
196,OGS,70,83.58,74.57,73.79,62.52,92.26,Utilities,Gas Distributors,-0.66,1.07
85,ECOL,70,46.3,37.08,36.92,26.26,48.03,Industrial Services,Environmental Services,0.02,1.07
